Country,observedPropertyDeterminandLabel,phenomenonTimeReferenceYear,resultMeanValue
Belgium,Nitrate,2007,35.48
Bulgaria,Nitrate,2001,13.35
Finland,Nitrate,2009,0.06
Bulgaria,Nitrate,2001,49.308
Bulgaria,Nitrate,2003,35.25
Finland,Nitrate,2011,0.87
Belgium,Dissolved oxygen,2007,2.32
Bulgaria,Nitrite,2001,0.024
Bulgaria,Nitrite,2003,0.024
Bulgaria,Nitrite,2005,0.003
Belgium,Nitrate,2008,28.41
Belgium,Nitrate,2010,37.76
Belgium,Nitrate,2006,49.98
Bulgaria,Dissolved oxygen,2003,4.833
Hungary,Ammonium,2001,1.0576
Bulgaria,Ammonium,2000,0.097
Belgium,Ammonium,2004,1.8558
Belgium,Ammonium,2011,2.92
Bulgaria,Ammonium,2003,0.007
Finland,Nitrate,2010,13.16
Bulgaria,Ammonium,2000,0.06
Hungary,Ammonium,2003,1.0063
Hungary,Ammonium,2005,1.0942
Belgium,Ammonium,2008,0.3
Belgium,Ammonium,2012,0.16
Belgium,Ammonium,2007,0.14
Belgium,Ammonium,2009,0.167
Belgium,Ammonium,2005,0.077
Belgium,Ammonium,2012,0.29
Bulgaria,Ammonium,2000,0.027
Hungary,Ammonium,2002,1.1377
Bulgaria,Ammonium,2000,0.172
Bulgaria,Ammonium,2000,0.017
Bulgaria,Ammonium,2001,0.056
Bulgaria,Ammonium,2003,0.18
Belgium,Ammonium,2009,0.262
Belgium,Ammonium,2011,0.11
Bulgaria,Ammonium,2005,0.08
Belgium,Nitrate,2008,37.23
Belgium,Nitrate,2004,41.7037
Belgium,Nitrate,2005,53.9
Belgium,Nitrate,2006,26.57
Belgium,Nitrite,2007,0.028
Belgium,Nitrite,2009,0.079
Belgium,Nitrite,2005,0.037
Belgium,Dissolved oxygen,2012,1.91
Bulgaria,Dissolved oxygen,2005,3.458
Bulgaria,Nitrite,2001,0.01
Belgium,Dissolved oxygen,2009,0.47
Belgium,Nitrate,2008,4.04
Belgium,Nitrate,2010,3.0
Belgium,Nitrate,2006,33.63
Belgium,Nitrate,2004,39.9873
Belgium,Dissolved oxygen,2008,0.8
Bulgaria,Dissolved oxygen,2005,3.582
Belgium,Nitrite,2007,0.022
Belgium,Ammonium,2007,7.281
Belgium,Nitrite,2012,0.157
Bulgaria,Nitrite,2000,0.007
Bulgaria,Nitrite,2002,0.039
Belgium,Dissolved oxygen,2010,1.0669
Belgium,Dissolved oxygen,2004,2.7
Finland,Dissolved oxygen,2007,8.48
Belgium,Dissolved oxygen,2012,2.66
Bulgaria,Dissolved oxygen,2002,4.863
Bulgaria,Dissolved oxygen,2004,3.76
Belgium,Dissolved oxygen,2004,1.5483
Finland,Dissolved oxygen,2008,8.55
Finland,Dissolved oxygen,2010,4.9
Belgium,Nitrite,2009,0.202
Belgium,Nitrite,2010,0.055
Belgium,Dissolved oxygen,2008,4.94
Belgium,Dissolved oxygen,2011,5.2
Belgium,Nitrite,2005,0.146
Hungary,Ammonium,2000,1.0403
Bulgaria,Nitrate,2000,12.95
Bulgaria,Nitrite,2004,0.001
Bulgaria,Nitrite,2000,0.001
Bulgaria,Nitrite,2001,0.002
Bulgaria,Nitrite,2001,0.026
Belgium,Ammonium,2009,0.455
Bulgaria,Ammonium,2001,0.014
Bulgaria,Ammonium,2002,0.241
Bulgaria,Ammonium,2004,0.221
Belgium,Ammonium,2008,5.296
Belgium,Ammonium,2010,0.1393
Belgium,Ammonium,2004,0.293
Belgium,Ammonium,2003,0.1247
Belgium,Ammonium,2006,0.445
Bulgaria,Ammonium,2002,0.005
Bulgaria,Ammonium,2004,0.04
Bulgaria,Nitrite,2005,0.047
Belgium,Dissolved oxygen,2012,5.8
Belgium,Dissolved oxygen,2005,5.25
Bulgaria,Nitrite,2004,0.038
Belgium,Dissolved oxygen,2005,0.05
Bulgaria,Nitrite,2000,0.004
Bulgaria,Dissolved oxygen,2001,4.89
Belgium,Dissolved oxygen,2008,6.39
Belgium,Dissolved oxygen,2011,5.5
Belgium,Nitrite,2005,0.076
Bulgaria,Nitrite,2001,0.001
Belgium,Nitrite,2003,0.0541
Bulgaria,Nitrite,2000,0.035
Belgium,Dissolved oxygen,2007,4.64
Belgium,Dissolved oxygen,2012,5.2
Belgium,Nitrite,2003,0.0463
Belgium,Nitrite,2010,0.057
Belgium,Nitrite,2003,0.005
Belgium,Nitrite,2011,0.048
Belgium,Dissolved oxygen,2006,4.84
Bulgaria,Nitrite,2003,0.013
Bulgaria,Dissolved oxygen,2004,6.567
Belgium,Dissolved oxygen,2007,0.55
Belgium,Nitrate,2011,3.12
Belgium,Ammonium,2003,2.4833
Belgium,Ammonium,2005,3.638
Belgium,Ammonium,2012,2.42
Bulgaria,Ammonium,2003,0.331
Belgium,Ammonium,2005,1.042
Belgium,Ammonium,2006,0.941
Bulgaria,Nitrite,2002,0.085
Belgium,Dissolved oxygen,2009,1.9
Belgium,Dissolved oxygen,2011,3.08
Belgium,Nitrite,2006,0.073
Bulgaria,Ammonium,2002,0.924
Bulgaria,Ammonium,2003,0.576
Belgium,Nitrite,2007,0.029
Belgium,Nitrite,2008,0.052
Belgium,Dissolved oxygen,2009,3.6
Belgium,Dissolved oxygen,2010,5.3418
Belgium,Nitrite,2007,0.108
Belgium,Nitrite,2008,0.108
Estonia,Dissolved oxygen,2010,16.1
Belgium,Ammonium,2007,0.443
Belgium,Ammonium,2009,0.533
Bulgaria,Ammonium,2001,0.082
Finland,Ammonium,2011,0.014
Bulgaria,Nitrite,2001,0.013
Bulgaria,Nitrite,2004,0.001
Belgium,Dissolved oxygen,2008,0.57
Belgium,Nitrate,2009,37.31
Belgium,Nitrate,2010,33.32
Finland,Nitrate,2010,15.76
Belgium,Ammonium,2010,0.286
Belgium,Ammonium,2011,0.29
Belgium,Ammonium,2004,1.4781
Belgium,Ammonium,2007,0.781
Bulgaria,Ammonium,2000,0.055
Bulgaria,Ammonium,2004,0.011
Bulgaria,Ammonium,2004,0.634
Finland,Ammonium,2010,0.0099
Finland,Nitrate,2012,11.38
Belgium,Ammonium,2003,0.4828
Belgium,Ammonium,2005,0.573
Bulgaria,Ammonium,2003,0.01
Bulgaria,Ammonium,2005,0.03
Belgium,Nitrate,2007,31.61
Belgium,Nitrate,2009,30.42
Belgium,Nitrate,2007,50.57
Belgium,Nitrate,2009,46.14
Finland,Nitrite,2011,0.002
Bulgaria,Dissolved oxygen,2003,5.303
Bulgaria,Nitrate,2004,0.142
Bulgaria,Nitrate,2004,14.1
Bulgaria,Nitrate,2001,11.075
Bulgaria,Nitrate,2003,10.7
Belgium,Dissolved oxygen,2010,0.4005
Bulgaria,Dissolved oxygen,2001,6.967
Finland,Nitrate,2011,31.87
Finland,Nitrate,2000,0.286
Finland,Nitrate,2010,7.65
Belgium,Nitrite,2006,0.181
Belgium,Dissolved oxygen,2009,5.06
Belgium,Dissolved oxygen,2010,3.6405
Belgium,Nitrite,2007,0.04
Finland,Nitrite,2010,0.0089
Bulgaria,Dissolved oxygen,2001,8.19
Finland,Nitrite,2009,0.0016
Belgium,Nitrate,2005,29.58
Belgium,Nitrate,2012,30.6
Belgium,Nitrate,2005,58.52
Bulgaria,Nitrite,2003,0.07
Belgium,Dissolved oxygen,2003,2.2672
Finland,Nitrite,2000,0.003
Belgium,Nitrate,2012,50.01
Finland,Nitrate,2011,10.51
Bulgaria,Ammonium,2001,0.725
Belgium,Ammonium,2011,0.63
Belgium,Ammonium,2012,0.6
Belgium,Ammonium,2005,0.549
Belgium,Ammonium,2012,0.07
Belgium,Ammonium,2009,0.985
Belgium,Ammonium,2008,0.11
Belgium,Ammonium,2010,0.3726
Bulgaria,Nitrite,2005,0.014
Finland,Dissolved oxygen,2003,10.4
Finland,Dissolved oxygen,2010,0.9
Belgium,Nitrate,2011,52.97
Finland,Nitrite,2011,0.002
Bulgaria,Nitrate,2000,22.2
