Species,HabitatType,status,StartLatitude,StartLongitude,DepthLower,Weight_kg,Number
Porifera,Unknown,,71.49675,19.4272733333333,894.625,373.0,1389.0
Axinellida,Unknown,,71.49675,19.4272733333333,435.0,1.0,234.0
Coelosphaeridae,Unknown,,71.49675,19.4272733333333,435.0,7.0,327.0
Geodia,Unknown,,71.3821691666667,17.67097,933.0,0.0,3.0
Geodia barretti,Unknown,,71.3821691666667,17.67097,304.55,0.0,4.0
Geodia macandrewii,Unknown,,71.3821691666667,17.67097,326.79,23.0,85.0
Porifera,Unknown,,71.3821691666667,17.67097,894.625,73.0,25.0
Mycalidae,Unknown,,71.3821691666667,17.67097,435.0,590.0,219.0
Polymastia hemisphaerica,Unknown,,71.3821691666667,17.67097,368.08,73.0,25.0
Tethyidae,Unknown,,71.3821691666667,17.67097,435.0,3.0,336.0
Craniella,Unknown,,71.3821691666667,17.67097,410.19,53.0,2451.0
Geodia barretti,Unknown,,71.9580325,17.288185,304.55,0.0,1.0
Geodia macandrewii,Unknown,,71.9580325,17.288185,326.79,0.0,26.0
Thenea,Unknown,,71.9580325,17.288185,285.05,0.0,13.0
Porifera,Unknown,,71.9580325,17.288185,894.625,27.0,7.0
Mycalidae,Unknown,,71.9580325,17.288185,435.0,499.0,171.0
Stylocordyla borealis,Unknown,,71.9580325,17.288185,1200.0,59.0,7.0
Geodia,Unknown,,71.9580325,17.288185,933.0,1.0,143.0
Geodia macandrewii,Unknown,,71.9580325,17.288185,326.79,14.0,674.0
Polymastiidae,Unknown,,72.0542833333333,19.165795,435.0,0.0,0.0
Geodia barretti,Unknown,,72.0542833333333,19.165795,304.55,0.0,1.0
Porifera,Unknown,,72.0542833333333,19.165795,894.625,126.0,51.0
Mycalidae,Unknown,,72.0542833333333,19.165795,435.0,946.0,388.0
Polymastiidae,Unknown,,72.0542833333333,19.165795,435.0,189.0,77.0
Stylocordyla borealis,Unknown,,72.0542833333333,19.165795,1200.0,0.0,40.0
Craniella,Unknown,,72.1837258333333,20.9952675,410.19,0.0,6.0
Geodia,Unknown,,72.1837258333333,20.9952675,933.0,0.0,69.0
Geodia barretti,Unknown,,72.1837258333333,20.9952675,304.55,0.0,20.0
Geodia macandrewii,Unknown,,72.1837258333333,20.9952675,326.79,0.0,125.0
Porifera,Unknown,,72.1837258333333,20.9952675,894.625,258.0,91.0
Craniella,Unknown,,72.1837258333333,20.9952675,410.19,2.0,13.0
Geodia,Unknown,,72.1837258333333,20.9952675,933.0,2.0,90.0
Geodia barretti,Unknown,,72.1837258333333,20.9952675,304.55,6.0,6.0
Porifera,Unknown,,72.24933,22.9009266666667,894.625,0.0,4.0
Polymastia grimaldii,Unknown,,72.24933,22.9009266666667,284.28999999999996,0.0,4.0
