ISO3,Country,Area,Indicator,Value Text,Count,Share (%)
HUN,Hungary,Rural,ATH09,Fully,58,23.4
IDN,Indonesia,Rural,ATH09,No,84,33.9
IRN,Iran (Islamic Republic of),Rural,ATH09,Partially,78,31.5
IRQ,Iraq,Rural,ATH09,Fully,58,23.4
ITA,Italy,Rural,ATH09,Partially,78,31.5
JAM,Jamaica,Rural,ATH09,No response,28,11.3
JOR,Jordan,Rural,ATH09,Fully,58,23.4
KAZ,Kazakhstan,Rural,ATH09,Fully,58,23.4
KEN,Kenya,Rural,ATH09,No,84,33.9
KWT,Kuwait,Rural,ATH09,No response,28,11.3
KGZ,Kyrgyzstan,Rural,ATH09,Fully,58,23.4
LAO,Lao People's Democratic Republic,Rural,ATH09,Partially,78,31.5
LBN,Lebanon,Rural,ATH09,Partially,78,31.5
LSO,Lesotho,Rural,ATH09,No response,28,11.3
LBR,Liberia,Rural,ATH09,No,84,33.9
MDG,Madagascar,Rural,ATH09,Partially,78,31.5
MWI,Malawi,Rural,ATH09,No,84,33.9
MDV,Maldives,Rural,ATH09,Partially,78,31.5
MLI,Mali,Rural,ATH09,Fully,58,23.4
MHL,Marshall Islands,Rural,ATH09,No response,28,11.3
MRT,Mauritania,Rural,ATH09,Partially,78,31.5
MUS,Mauritius,Rural,ATH09,Partially,78,31.5
MEX,Mexico,Rural,ATH09,No response,28,11.3
MNG,Mongolia,Rural,ATH09,Partially,78,31.5
MNE,Montenegro,Rural,ATH09,No,84,33.9
MAR,Morocco,Rural,ATH09,Fully,58,23.4
MOZ,Mozambique,Rural,ATH09,Partially,78,31.5
NAM,Namibia,Rural,ATH09,No,84,33.9
NPL,Nepal,Rural,ATH09,No,84,33.9
NIC,Nicaragua,Rural,ATH09,No,84,33.9
NER,Niger,Rural,ATH09,Fully,58,23.4
NGA,Nigeria,Rural,ATH09,Partially,78,31.5
NOR,Norway,Rural,ATH09,Fully,58,23.4
PSE,"occupied Palestinian territory, including east Jerusalem",Rural,ATH09,Fully,58,23.4
OMN,Oman,Rural,ATH09,Fully,58,23.4
PAK,Pakistan,Rural,ATH09,Fully,58,23.4
PAN,Panama,Rural,ATH09,No,84,33.9
PNG,Papua New Guinea,Rural,ATH09,Partially,78,31.5
PRY,Paraguay,Rural,ATH09,Partially,78,31.5
PER,Peru,Rural,ATH09,No,84,33.9
PHL,Philippines,Rural,ATH09,No,84,33.9
ROU,Romania,Rural,ATH09,Fully,58,23.4
LCA,Saint Lucia,Rural,ATH09,No,84,33.9
STP,Sao Tome and Principe,Rural,ATH09,Partially,78,31.5
SEN,Senegal,Rural,ATH09,No response,28,11.3
SRB,Serbia,Rural,ATH09,Fully,58,23.4
SYC,Seychelles,Rural,ATH09,No,84,33.9
SLE,Sierra Leone,Rural,ATH09,No,84,33.9
SLB,Solomon Islands,Rural,ATH09,No,84,33.9
SOM,Somalia,Rural,ATH09,No,84,33.9
ZAF,South Africa,Rural,ATH09,Fully,58,23.4
SSD,South Sudan,Rural,ATH09,Partially,78,31.5
LKA,Sri Lanka,Rural,ATH09,Partially,78,31.5
SDN,Sudan,Rural,ATH09,Partially,78,31.5
SYR,Syrian Arab Republic,Rural,ATH09,Fully,58,23.4
TJK,Tajikistan,Rural,ATH09,No,84,33.9
THA,Thailand,Rural,ATH09,Fully,58,23.4
TLS,Timor-Leste,Rural,ATH09,Fully,58,23.4
TGO,Togo,Rural,ATH09,No,84,33.9
TTO,Trinidad and Tobago,Rural,ATH09,Partially,78,31.5
TUN,Tunisia,Rural,ATH09,Partially,78,31.5
TKM,Turkmenistan,Rural,ATH09,Fully,58,23.4
TUV,Tuvalu,Rural,ATH09,Partially,78,31.5
