VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Iceland,2022,65.882548686,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,India,2015,2.45220703,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,India,2016,2.637648464,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,India,2017,2.814614928,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,India,2018,2.996197979,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,India,2019,3.128950961,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,India,2020,2.948073865,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,India,2021,3.208575259,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,India,2022,3.420498871,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Indonesia,2015,3.508842577,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Indonesia,2016,3.63816019,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Indonesia,2017,3.818011927,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Indonesia,2018,4.014112666,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Indonesia,2019,4.214317153,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Indonesia,2020,4.123609967,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Indonesia,2021,4.270326431,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Indonesia,2022,4.503342504,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Iran (Islamic Republic of),2015,4.142928836,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Iran (Islamic Republic of),2016,4.468105533,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Iran (Islamic Republic of),2017,4.591690563,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Iran (Islamic Republic of),2018,4.461804835,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Iran (Islamic Republic of),2019,4.103069902,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Iran (Islamic Republic of),2020,4.018644399,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Iran (Islamic Republic of),2021,4.153720695,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Iran (Islamic Republic of),2022,4.230851515,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Iraq,2015,4.738420283,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Iraq,2016,4.893725702,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Iraq,2017,4.333042772,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Iraq,2018,5.707279289,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Iraq,2019,3.589496665,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Iraq,2020,3.878666946,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Iraq,2021,4.20893608,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Iraq,2022,4.509436224,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Ireland,2015,251.500965097,US$/m3,I,false
